1	1	0
1	2	4
1	3	0
1	4	0
1	5	0
1	6	4
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	4
3	1	3
3	2	0
3	3	0
3	4	0
3	5	2
3	6	0
4	1	0
4	2	4
4	3	0
4	4	0
4	5	0
4	6	0
5	1	2
5	2	0
5	3	0
5	4	0
5	5	0
5	6	4
6	7	0
6	8	0
6	9	0
6	10	4
6	11	0
6	12	0
7	7	0
7	8	4
7	9	3
7	10	0
7	11	0
7	12	0
8	7	0
8	8	0
8	9	4
8	10	0
8	11	0
8	12	0
9	7	0
9	8	0
9	9	0
9	10	3
9	11	0
9	12	0
10	7	0
10	8	4
10	9	0
10	10	3
10	11	0
10	12	4
11	13	0
11	14	4
11	15	0
11	16	4
11	17	0
11	18	3
12	13	4
12	14	0
12	15	0
12	16	3
12	17	3
12	18	0
13	13	0
13	14	0
13	15	0
13	16	0
13	17	0
13	18	3
14	13	0
14	14	0
14	15	0
14	16	4
14	17	0
14	18	0
15	13	0
15	14	0
15	15	0
15	16	4
15	17	0
15	18	0
16	37	4
16	38	0
16	39	0
16	40	3
16	41	0
16	42	4
17	37	0
17	38	4
17	39	0
17	40	0
17	41	0
17	42	4
18	37	0
18	38	3
18	39	0
18	40	4
18	41	3
18	42	4
19	37	4
19	38	3
19	39	3
19	40	0
19	41	3
19	42	0
20	37	0
20	38	4
20	39	4
20	40	0
20	41	0
20	42	0
